tripID,Observation,card,carp,walk,bike,ptwalk,chosen
1,1,0.002566489,0.160892443,0.773210135,0.012962983,0.050367949,0.773210135
2,1,0.002635843,0.165690992,0.766178973,0.013131511,0.052362681,0.766178973
3,1,0.01905027,0.237320989,0.639435305,0.087428944,0.016764492,0.237320989
4,1,0.01905027,0.237320989,0.639435305,0.087428944,0.016764492,0.237320989
5,1,0.011679528,0.256219815,0.679281874,0.031549488,0.021269297,0.256219815
6,1,0.000325708,0.082226315,0.404763742,0.445384642,0.067299593,0.404763742
7,1,0.01150366,0.242943409,0.688410068,0.036582943,0.02055992,0.688410068
8,1,0.002456425,0.165756819,0.770308798,0.005349556,0.056128403,0.770308798
9,1,0.002574014,0.213993513,0.695370519,0.009703219,0.078358736,0.695370519
10,1,0.206992091,0.049616515,0.625029681,0.034970029,0.083391684,0.625029681
11,1,0.258269422,0.022436303,0.65910664,0.026144074,0.034043562,0.65910664
12,1,0.258269422,0.022436303,0.65910664,0.026144074,0.034043562,0.65910664
13,1,0.002169882,0.158204462,0.779818576,0.002077198,0.057729882,0.158204462
14,1,0.023042179,0.053617007,0.547597909,0.337296204,0.0384467,0.547597909
15,1,0.155246323,0.042168221,0.717773472,0.030950772,0.053861212,0.717773472
16,1,0.149782526,0.120875545,0.627076558,0.044951948,0.057313423,0.627076558
17,1,0.001378046,0.180068641,0.762999368,0.003796421,0.051757524,0.762999368
18,1,0.002469064,0.167038727,0.768793736,0.005188652,0.056509822,0.768793736
19,1,0.037409187,0.375939873,0.558502755,0.002341016,0.025807169,0.558502755
20,1,0.19196823,0.042740771,0.668612912,0.060526752,0.036151335,0.668612912
21,1,0.377155581,0.02538307,0.567051892,0.004770313,0.025639144,0.567051892
22,1,0.008566543,0.155370269,0.727314474,0.004232481,0.104516233,0.727314474
23,1,0.012258129,0.333248486,0.595038653,0.020165231,0.039289501,0.595038653
24,1,0.020546152,0.317191879,0.573361675,0.057200921,0.031699373,0.573361675
25,1,0.012258129,0.333248486,0.595038653,0.020165231,0.039289501,0.595038653
26,1,0.150309754,0.119221479,0.631668632,0.040889823,0.057910313,0.631668632
27,1,0.002274661,0.16463806,0.770914797,0.002237843,0.059934638,0.770914797
28,1,0.018363891,0.092617551,0.770432102,0.046318473,0.072267983,0.770432102
29,1,0.015876245,0.323821367,0.617698104,0.003498642,0.039105642,0.617698104
30,1,0.000362292,0.110649783,0.783514212,0.02493967,0.080534042,0.783514212
31,1,0.00020518,0.110351768,0.78464001,0.008483947,0.096319095,0.78464001
32,1,0.059946846,0.080473771,0.731712016,0.047856907,0.08001046,0.731712016
33,1,0.000387509,0.116985958,0.768499322,0.027021223,0.087105987,0.768499322
