"","Estimate","Std.err.","t-ratio(0)","Rob.std.err.","Rob.t-ratio(0)"
"cons_carp",0.507479410130553,0.166203834450304,3.05335560884604,0.20598549510741,2.46366575406648
"cons_walk",2.38171235675649,0.256683615452297,9.27878607506647,0.338310478568359,7.04001947215844
"cons_bike",0.0869613466622531,0.417735412425233,0.208173269671787,0.4411187768342,0.197138166020393
"cons_ptwalk",0.730350279159625,0.259429734111041,2.81521423001968,0.304074107925196,2.40188250207511
"f_age2_carp",-0.220324831059579,0.11658396917687,-1.88983813653937,0.171332427290584,-1.28594939407414
"f_age2_walk",0.545458344267642,0.145164797211846,3.75751115107907,0.166756390075362,3.27098915982251
"f_age2_bike",1.54526236999993,0.229643453393523,6.7289633001291,0.238063662772004,6.49096276183838
"f_age2_ptwalk",1.32313118216956,0.149679652471536,8.83975316832843,0.167979011522141,7.87676490163865
"f_age4_carp",-0.507854863130737,0.174187045700068,-2.91557194215929,0.246404460312692,-2.06106197301079
"f_age4_walk",-0.386961347871536,0.158303966660159,-2.44441978325313,0.173331963667107,-2.23248695557799
"f_age4_bike",-0.548559518107223,0.291432608752569,-1.88228599556942,0.311141777441598,-1.76305323771633
"f_age4_ptwalk",-0.273974767140126,0.167268830715568,-1.63793078464216,0.172339987096284,-1.58973417461764
"f_age5_carp",-0.446912580961501,0.153006457957432,-2.92087397439027,0.209753352623664,-2.13065762893118
"f_age5_walk",-0.500386810196162,0.156463274527087,-3.19811030229675,0.168127194616694,-2.9762395746683
"f_age5_bike",-0.761670668781613,0.323887056337777,-2.35165516459317,0.354050726280921,-2.15130378853472
"f_age5_ptwalk",-0.436782718090231,0.174004715398064,-2.51017748048391,0.185824644908369,-2.35051017213358
"f_age6_carp",-0.271718599377444,0.121825744622699,-2.23038734726367,0.152663059016978,-1.77985821276662
"f_age6_walk",-0.750769771520214,0.188345993779605,-3.98612020597972,0.188321827591047,-3.98663172041086
"f_age6_bike",-0.854328085722781,0.439044902635437,-1.9458786119473,0.441790444443935,-1.93378579475183
"f_age6_ptwalk",-0.387263808985339,0.198526843860437,-1.95068738038057,0.199323519217902,-1.94289068598061
"f_age7_carp",-0.409412792071481,0.195732281598654,-2.09169784732278,0.229477952419004,-1.78410512973348
"f_age7_walk",-1.21508273260015,0.363039997734491,-3.34696656066201,0.368507988620238,-3.29730364095945
"f_age7_bike",-1.41252905281338,1.14897907171251,-1.22937752966036,0.745006351529117,-1.8959959870331
"f_age7_ptwalk",-1.35055183260594,0.501399391398787,-2.69356496193227,0.482154716749714,-2.80107564167418
"f_female_carp",0.192650704738591,0.0737003160665666,2.61397392874934,0.0947560492828253,2.03312301638466
"f_female_walk",0.204789769793869,0.0918779624936599,2.22893242553132,0.0960745408234956,2.13157167381212
"f_female_bike",-0.80852934522463,0.195429165045223,-4.13719899502991,0.197350260735819,-4.09692564990811
"f_female_ptwalk",0.388053436602188,0.103081573799523,3.76452766773709,0.104392040590739,3.71727034366081
"f_inc1_carp",-0.138121795017738,0.152664322854546,-0.904741804994844,0.17323751822731,-0.797297239253359
"f_inc1_walk",-0.0515070224885789,0.230849434612091,-0.223119552253308,0.220081823245164,-0.234035786004925
"f_inc1_bike",0.247302751898257,0.44780603486865,0.552254173999231,0.439251847478169,0.563009019354319
"f_inc1_ptwalk",-1.04003077217364,0.261127597953405,-3.9828450930691,0.246173766113891,-4.22478312206701
"f_inc2_carp",-0.341092067562769,0.146164935000802,-2.33361077717373,0.189839833872438,-1.79673602007028
"f_inc2_walk",-0.199848185590576,0.185063028618894,-1.07989254840377,0.193905164016498,-1.03064911449998
"f_inc2_bike",-0.400467191036192,0.376277124522252,-1.06428790095771,0.367793267951063,-1.08883774101454
"f_inc2_ptwalk",-1.00739950203732,0.203942796297066,-4.93961797292376,0.203646310713707,-4.94680948801254
"f_inc3_carp",-0.161516752266737,0.106152604314835,-1.52155242265842,0.114016895169749,-1.4166036711162
"f_inc3_walk",-0.0161846840231505,0.176984630662949,-0.0914468333353344,0.178898474848471,-0.0904685410921422
"f_inc3_bike",-0.249793375823188,0.359731187528932,-0.694388989564877,0.348696437304602,-0.716363429905029
"f_inc3_ptwalk",-0.917363229586013,0.20215281101285,-4.53796919760715,0.197027437372988,-4.65601766849039
"f_inc4_carp",-0.124248257452291,0.0930178129098681,-1.33574692379281,0.0894102810004584,-1.38964172869174
"f_inc4_walk",0.126647812827062,0.165208019205215,0.766596037143602,0.176038647403978,0.719431867346875
"f_inc4_bike",0.264707267525009,0.336198336696847,0.787354482850099,0.34970409712105,0.756946429007324
"f_inc4_ptwalk",-0.461141530787376,0.182066455113997,-2.53281984591089,0.18065739832643,-2.55257484641808
"f_inc6_carp",-0.0999734672620078,0.0875156095894692,-1.14235012166375,0.0946124996026969,-1.05666236154655
"f_inc6_walk",-0.360546323478436,0.152615866119658,-2.36244325472524,0.153454888129095,-2.34952648217451
"f_inc6_bike",-0.222948837138062,0.31977781005621,-0.697199211849229,0.323288637706866,-0.689627815933993
"f_inc6_ptwalk",-0.600730881051986,0.164328185075273,-3.65567769629301,0.167628716763724,-3.58369909792204
"f_cars_carp",-0.480013795391433,0.121956402573384,-3.93594584017513,0.163574647428703,-2.93452440788941
"f_cars_walk",-1.03703700080034,0.0837275058562858,-12.3858580306974,0.105812799137006,-9.80067637618763
"f_cars_bike",-1.86343133117003,0.141999643996198,-13.1227887530474,0.157384037254429,-11.840027512813
"f_cars_ptwalk",-1.60090743629154,0.0894003507477487,-17.9071717605298,0.104463155323563,-15.3250917161453
"f_bikes_carp",-0.0254261925224113,0.0239036496212308,-1.06369499742953,0.0243768389313396,-1.04304715611517
"f_bikes_walk",-0.0651531400117317,0.0373419202706878,-1.74477208294172,0.0377820934096782,-1.72444494552655
"f_bikes_bike",0.849881882708995,0.0699134870626564,12.1561935817524,0.0630050781379368,13.4891013205055
"f_bikes_ptwalk",-0.102282430583155,0.0447251029917717,-2.28691324874026,0.0442864089126212,-2.30956704538773
"f_work2_carp",0.0642742647560107,0.0930445582900222,0.690790154064316,0.0993159729686808,0.647169461616003
"f_work2_walk",-0.0446705800447487,0.174996653700826,-0.255265338508229,0.173249589075651,-0.257839457415641
"f_work2_bike",-0.300950438001821,0.375500097873717,-0.801465671263375,0.408591382374192,-0.736556009216581
"f_work2_ptwalk",0.395512902269971,0.188811512391316,2.09474992949721,0.182580190500287,2.16624213824198
"f_work4_carp",1.57260892089839,0.445074160568217,3.53336378569062,0.642033138301193,2.44942017332545
"f_work4_walk",1.62212642256465,0.319981106308658,5.06944438463166,0.432540464409449,3.75023045480694
"f_work4_bike",-0.107062831415538,0.380926437321585,-0.281059073159455,0.483831438567339,-0.221281262194451
"f_work4_ptwalk",1.84960691660068,0.322501410650671,5.73519015891733,0.440723719949411,4.1967491942866
"f_vgvi_walk",0.000193420051903407,0.000303508145448885,0.637281255227405,0.000384827544757269,0.502614884351398
"f_vgvi_bike",0.00117916881771902,0.000574406172856681,2.05284844320994,0.000562934244137654,2.09468304690783
"f_shannon_walk",3.40560276891574e-05,0.000196991923512892,0.172880324644013,0.000242513246350915,0.140429556742144
"f_shannon_bike",0.000943299584128781,0.00038326556768167,2.46121661759154,0.000401218141610692,2.35108906178046
"f_crime_walk",-0.00191245247082989,0.000510497909087943,-3.74624937102423,0.000557421516986796,-3.4308910089583
"f_crime_bike",0.000847209314197373,0.000904941235271884,0.936203679505038,0.000778922565174628,1.08766821257442
"f_attract_walk",-0.00126642162557651,0.000825266601990786,-1.53456061655898,0.000992307068049235,-1.2762396503596
"f_attract_bike",-0.00218316616087048,0.00150555969848868,-1.45006947453628,0.00146792932986983,-1.48724200576064
"f_stresjct_walk",-0.0335057227632091,0.0118957855249261,-2.8166044766865,0.0130817906601556,-2.56124896305371
"f_stresjct_bike",-0.0138921382666112,0.0217264887131093,-0.639410189564088,0.0232103689983568,-0.598531555771248
"f_poi_walk",-0.000109516475988255,0.000186253380011642,-0.587997253963442,0.000217775601151774,-0.50288680370548
"f_poi_bike",-0.000739479685305999,0.000294196622612378,-2.51355599782092,0.000271504008732154,-2.72364186723856
"f_costcarp",0.00184239741047172,NA,NA,0.0201357792942595,0.0914986891516519
"f_costwalk",0.000321562884451805,1.84428863481235,0.000174356051640757,NA,NA
"f_costbike",0.000201882792466196,NA,NA,0.0013597379048558,0.148471842805328
"f_costpt",-1.42658592924181e-05,8.70628897694836e-05,-0.163856946744932,7.65669200861593e-05,-0.186318834248067
"f_timecarp",-0.000463467063247366,NA,NA,0.000239048743532519,-1.93879731973709
"f_timewalk",0.000325148682088237,1.84428858734529,0.000176300327573063,0.00157363134065497,0.206623161148345
"f_timebike",0.000201882978401901,NA,NA,0.0013298840684446,0.151804945402511
"f_timept",0.000140505627297576,3.53709764318435e-05,3.97234234028898,3.15341264093763e-05,4.45566893065406
"lambda_car",0.337168236058533,0.0977468694126667,3.44940188964088,0.143190502772632,2.35468295403579
